custID,age,region,job,marital,education,default,balance,housing,loan
C00194,42,North East,admin,married,secondary,no,517,yes,no
C00195,34,London,others,married,secondary,no,283,yes,no
C00197,38,London,services,married,secondary,no,180,yes,no
C00198,50,South West,technician,others,tertiary,no,201,no,yes
C00199,43,London,management,married,tertiary,no,465,yes,no
C00200,61,North West,others,others,primary,no,1660,yes,no
C00201,47,Yorkshire and the Humber,admin,married,secondary,no,255,yes,no
C00203,44,London,others,married,secondary,no,669,yes,no
C00204,35,East of England,student,single,,no,347,yes,no
C00207,41,South East,management,married,tertiary,no,205,yes,yes
C00208,41,South East,management,married,tertiary,no,601,yes,no
C00210,42,South East,retired,married,secondary,no,65,yes,no
C00211,38,South East,others,married,secondary,no,-453,yes,no
C00212,53,London,retired,married,secondary,no,384,yes,no
C00214,36,West Midlands,services,married,secondary,no,350,yes,no
C00215,54,West Midlands,others,married,primary,no,-48,yes,no
C00216,40,South East,technician,married,tertiary,no,562,yes,no
C00219,46,Yorkshire and the Humber,domestic worker,married,primary,no,1122,no,no
C00220,39,West Midlands,management,married,tertiary,no,440,yes,yes
C00221,40,North West, ,married,secondary,no,255,yes,no
C00223,35,South East,entrepreneur,others,secondary,no,-80,yes,no
C00225,43,London,technician,others,,no,238,yes,no
C00226,48,North West,others,married,primary,no,323,yes,no
C00227,58,South West,management,married,,no,1238,yes,no
C00228,33,West Midlands,management,single,tertiary,no,40,yes,no
C00229,36, ,others,married,,no,1201,no,no
C00230,53,North West,services,others,secondary,no,1706,yes,no
C00231,47,North West,others,married,primary,no,-14,yes,no
C00232,31, ,services,married,secondary,no,451,yes,no
C00233,57,South West,entrepreneur,married,secondary,no,342,yes,no
C00235,55,North West,others,married,primary,no,729,yes,no
C00236,45,London,others,married,primary,no,29,yes,no
C00238,37,South East,others,married,primary,no,0,yes,no
C00239,44,South East,admin,others,secondary,no,77,yes,no
C00240,49,North East,others,others,primary,no,-10,yes,yes
C00241,46,South East,technician,married,secondary,no,406,yes,yes
C00242,43,London,entrepreneur,married,,no,116,yes,no
C00244,43,South East,technician,married,secondary,no,505,yes,no
C00245,49,West Midlands,management,married,tertiary,no,3764,yes,no
C00246,42,London,management,married,,no,320,no,no
C00247,22,West Midlands,others,single,secondary,no,0,yes,no
C00248,40,London,management,married,tertiary,no,241,yes,no
C00249,39,London,others,married,secondary,no,562,yes,no
C00250,51,London,services,married,secondary,no,2614,yes,no
C00251,49,London,admin,married,secondary,no,498,yes,no
C00252,53,London,others,married,secondary,no,0,yes,yes
C00253,34,London,services,single,secondary,no,0,yes,no
C00254,33,South East,technician,others,secondary,no,163,yes,no
C00255,50,East of England,management,single,tertiary,no,345,yes,no
C00256,39,South East,others,married,primary,no,324,yes,no
C00258,30,London,technician,single,secondary,no,2992,yes,no
C00259,36,South East,services,married,secondary,no,166,yes,yes
C00260,40,North West,others,married,secondary,no,552,yes,no
C00261,53,North West,others,married,secondary,no,81,yes,no
C00262,34,Yorkshire and the Humber,management,single,tertiary,no,370,yes,no
C00263,37,North West,technician,married,secondary,no,320,yes,no
C00264,42, ,management,others,tertiary,no,863,yes,no
C00265,41,West Midlands,entrepreneur,married,primary,no,274,yes,no
C00266,30,London,student,single,tertiary,no,29,yes,no
C00268,39,London,admin,others,secondary,no,-406,yes,no
C00270,40,East of England,others,married,primary,no,0,yes,no
C00271,42,South East,management,single,tertiary,no,0,yes,yes
C00272,40,North West,others,others,primary,no,0,yes,no
C00274,56,West Midlands,entrepreneur,others,secondary,no,180,no,no
C00275,37,London,admin,married,secondary,no,221,yes,no
C00276,59,London,retired,married,secondary,no,371,yes,no
C00278,49,South East,services,married,secondary,no,55,no,no
C00279,38,South East,services,single,secondary,no,663,yes,no
C00281,50,South East,others,married,primary,no,71,yes,no
C00283,54,East of England,technician,married,tertiary,no,300,no,no
C00284,58,East of England,others,married,primary,no,88,yes,no
C00287,47,North West,admin,married,secondary,no,428,yes,no
C00288,50,East of England,technician,single,tertiary,no,394,yes,no
C00289,32,South East,others,married,secondary,no,1548,yes,no
C00291,37,North West,management,married,tertiary,no,67,yes,no
C00292,54,East of England,technician,single,,no,520,yes,no
C00293,24,South East,student,single,secondary,no,492,yes,no
C00294,54,North West,management,married,tertiary,no,0,no,no
C00295,34, ,technician,married,secondary,no,22,yes,no
C00296,56,East of England,technician,others,primary,no,15,yes,no
C00297,31,South East,others,single,secondary,no,3,yes,no
C00298,24,South East,student,single,secondary,no,95,yes,no
C00299,42,East of England,others,others,primary,no,33,yes,no
C00300,57,London,technician,married,secondary,no,921,yes,no
C00301,42,South East,others,married,,no,474,yes,no
C00302,51,South East,admin,married,secondary,no,617,yes,no
C00303,57,South East,retired,married,secondary,no,245,yes,no
C00304,36,Yorkshire and the Humber,services,single,secondary,no,72,yes,no
C00305,53,London,services,married,,no,299,yes,no
C00306,50,East of England,technician,married,secondary,no,1435,yes,no
C00307,54,Yorkshire and the Humber,management,married,tertiary,no,364,yes,no
C00308,55,London,others,married,secondary,no,103,yes,no
C00309,44,West Midlands,others,married,secondary,no,150,yes,yes
C00312,54,East of England,technician,married,,no,990,yes,no
C00313,55,South East,services,others,primary,no,112,yes,yes
C00314,37,West Midlands,services,others,secondary,no,463,yes,yes
C00315,33,London,admin,single,tertiary,no,224,no,no
C00316,46,East of England,admin,married,secondary,no,-416,yes,no
C00317,36,North West,others,married,secondary,no,627,yes,yes
C00318,51,South East,technician,single,secondary,no,0,yes,no
C00319,40,North West,retired,single,primary,no,0,no,no
C00320,42,London,others,married,secondary,no,570,yes,no
C00321,51,North West,others,married,secondary,no,0,yes,no
C00322,49,South East,others,married,,no,469,yes,no
C00323,48,South West,management,married,secondary,no,187,yes,no
C00324,32,London,technician,others,tertiary,no,2974,no,no
C00325,31,South East,admin,single,secondary,no,114,yes,no
C00326,55,South East,management,single,tertiary,no,134,no,no
C00329,57,North West,technician,married,,no,240,yes,no
C00330,41,South East,others,married,secondary,no,337,yes,no
C00331,48,East of England,others,married,secondary,no,1,no,no
C00333,30,South East,others,single,secondary,no,-531,yes,no
C00334,58,South East,management,single,tertiary,no,1613,yes,no
C00336,49,West Midlands,others,married,secondary,no,35,yes,no
C00337,42,Yorkshire and the Humber,admin,single,secondary,no,1188,yes,no
C00338,53,South East,technician,married,secondary,no,65,yes,yes
C00339,51,London,admin,single,secondary,yes,-2,no,no
C00341,41,South East,others,single,secondary,no,979,yes,no
C00342,43,West Midlands,management,others,secondary,no,806,yes,no
C00343,40,London,others,others,secondary,no,-387,yes,no
C00344,50,North West,others,married,primary,no,1783,yes,no
C00345,34,South East,management,married,tertiary,no,53,yes,no
C00346,53, ,services,married,,no,21,no,no
C00348,39,South East,others,married,primary,no,-116,yes,no
C00349,44,South East,services,married,tertiary,no,593,yes,no
C00350,55,South East,management,married,tertiary,no,797,yes,no
C00351,46,South East,management,single,tertiary,no,217,yes,no
C00352,45,South East,others,married,secondary,no,77,yes,no
C00353,34,West Midlands,admin,married,secondary,no,651,yes,no
C00354,36,London,others,married,secondary,no,0,yes,no
C00355,59,London,others,others,,no,31,no,no
C00356,31,West Midlands,admin,single,secondary,no,14,yes,no
C00357,44,North West,others,single,secondary,no,40,yes,no
C00358,33,North West,entrepreneur,single,tertiary,no,1242,yes,no
C00359,40,North West,others,married,secondary,no,245,yes,no
C00361,48,West Midlands,management,married,tertiary,no,306,yes,no
C00362,42,South East,services,married,secondary,no,1469,yes,no
C00363,27,North West,services,married,secondary,no,9,yes,no
C00364,48,South East,admin,married,secondary,no,147,yes,yes
C00365,59,North West,admin,married,secondary,no,267,yes,no
C00366,46,London,technician,married,tertiary,no,978,yes,no
C00368,43,South East,management,others,tertiary,no,1,yes,no
C00369,38,North West,admin,others,tertiary,no,100,yes,no
C00370,23,North West,student,single,secondary,no,183,yes,no
C00371,34,South East,services,married,secondary,no,26,yes,no
C00372,38,West Midlands,admin,married,secondary,no,53,yes,yes
C00375,48,North West,others,married,,no,152,yes,no
C00376,49,London,others,single,secondary,no,166,yes,no
C00377,38,South West,admin,single,secondary,no,457,no,no
C00379,33,South East,management,married,tertiary,no,0,yes,no
C00380,55,South East,others,married,secondary,no,260,yes,no
C00382,49,West Midlands,services,married,secondary,no,285,yes,yes
C00383,40,South East,management,married,secondary,no,9867,no,no
C00384,43,London,admin,married,,no,407,no,no
C00385,38,West Midlands,others,married,secondary,no,23,yes,no
C00386,58,North East,services,married,secondary,no,1938,yes,yes
C00387,57,West Midlands,technician,married,,no,401,yes,no
C00389,56,North West,management,married,tertiary,no,965,yes,yes
C00390,58,South East,others,others,,no,34,yes,no
C00391,60,London,retired,others,secondary,no,634,yes,no
C00392,37,West Midlands,technician,married,tertiary,no,10151,yes,no
C00393,46,London,technician,others,tertiary,no,555,yes,no
C00396,32,West Midlands,technician,single,secondary,no,0,yes,yes
C00397,40,South East,admin,single,secondary,no,306,yes,no
C00398,38,London,admin,married,secondary,no,1,no,no
C00399,34,West Midlands,others,married,secondary,no,329,no,yes
C00400,47,North West,others,married,primary,no,240,yes,no
C00401,42,West Midlands,domestic worker,married,primary,no,20,yes,no
C00402,48,London,technician,married,secondary,no,164,yes,yes
C00403,29,South East,self-employed,single,tertiary,no,19,yes,no
C00404,50,North West,services,married,secondary,no,240,yes,no
C00405,52,North West,technician,married,,no,8,no,no
C00406,50,East of England,management,married,tertiary,no,0,no,no
C00407,58,South East,retired,married,tertiary,no,0,no,no
C00408,46,West Midlands,others,others,primary,no,2241,yes,no
C00409,38,London,technician,married,secondary,no,330,yes,no
C00410,46,North West,others,married,secondary,no,1930,yes,no
C00411,32,East of England,services,single,secondary,no,472,yes,no
C00412,51,South West,others,married,primary,no,267,yes,no
C00415,36,Yorkshire and the Humber,entrepreneur,married,tertiary,no,1359,yes,no
C00416,34, ,admin,others,secondary,no,78,yes,no
C00417,40,North West,technician,married,secondary,no,90,no,no
C00418,43,London, ,married,secondary,no,0,yes,no
C00419,52, ,others,others,primary,no,64,yes,yes
C00421,49, ,management,single,tertiary,no,190,yes,no
C00422,32,East of England,management,single,tertiary,no,176,yes,no
C00423,39,South East,admin,single,secondary,no,131,yes,no
C00424,40,North West,others,married,secondary,no,0,yes,no
C00425,38, ,technician,single,tertiary,no,10,yes,no
C00426,43,London,management,married,secondary,no,436,yes,no
C00428,54,South East,others,married,primary,no,2444,yes,no
C00429,38,North West,technician,single,tertiary,no,5029,yes,no
C00430,40,West Midlands,others,married,secondary,no,252,yes,no
C00431,55,North West,admin,married,secondary,no,152,yes,no
C00432,42,London,management,married,tertiary,no,1953,yes,no
C00433,39,London,others,married,secondary,no,0,yes,no
C00434,40,South East,others,married,primary,no,53,yes,no
C00435,32,North West,others,married,secondary,no,372,yes,no
C00436,55,East of England,admin,married,secondary,no,213,yes,no
C00437,45,West Midlands,others,married,secondary,no,45,no,no
C00438,35,North West,management,single,tertiary,no,651,yes,no
C00439,58,North West,technician,others,secondary,no,545,no,no
C00440,35,West Midlands,admin,married,secondary,no,616,yes,no
C00442,34,South East,technician,single,tertiary,no,281,yes,no
C00443,36,London,others,married,secondary,no,162,yes,no
C00444,24,South East,self-employed,single,secondary,no,0,yes,no
C00446,51,West Midlands,admin,others,secondary,no,265,yes,no
C00449,32,South East,services,single,secondary,no,360,yes,no
C00450,42,North West,others,married,,no,153,yes,no
C00451,50,South East,technician,married,secondary,no,927,yes,no
C00452,40,South East,services,married,secondary,no,83,no,no
C00453,46,North West,management,others,,no,2,yes,no
C00454,37,London,management,married,tertiary,no,269,yes,yes
C00455,34,North West,others,married,secondary,no,314,yes,yes
C00456,44,South East,others,married,secondary,no,319,yes,yes
C00458,37,North West,technician,married,secondary,no,1,yes,no
C00459,33,East of England,others,single,secondary,yes,-70,no,no
C00460,35, ,others,married,secondary,no,103,yes,no
C00461,58,South East,others,others,secondary,no,-13,no,no
C00462,39,South East,others,married,primary,no,0,yes,no
C00463,43,London,others,married,secondary,no,-592,yes,no
C00464,39,East of England, ,married,primary,no,474,yes,no
C00465,36,South East,services,single,primary,no,67,yes,no
C00466,57,South East,retired,single,secondary,no,1907,no,yes
C00468,50,East of England,others,married,primary,no,83,yes,no
C00469,55,East of England,others,married,secondary,no,60,yes,no
C00472,39,North West,domestic worker,single,primary,no,127,yes,no
C00473,46,West Midlands,others,married,,no,1214,yes,no
C00476,40,East of England,others,married,primary,no,777,yes,no
C00477,50,South West,management,married,tertiary,no,1121,yes,no
C00480,39,London,management,single,secondary,no,2183,yes,no
C00481,51,South East,others,married,primary,no,1310,yes,no
C00486,54,North West,management,others,primary,no,0,no,no
C00488,59,South East,management,others,tertiary,no,-88,yes,yes
C00490,40,London,others,married,primary,no,-77,yes,no
C00491,32,London,technician,married,secondary,no,0,yes,no
C00492,29,South East,others,married,secondary,no,1,yes,no
C00493,36,South East,others,married,secondary,no,0,yes,no
C00494,55, , ,married,tertiary,no,6215,no,no
C00495,30,North West,others,others,secondary,no,-243,yes,no
C00496,39,North West,admin,single,secondary,no,0,yes,no
C00498,50,London,others,others,secondary,no,48,yes,no
C00501,46,North West,admin,married,primary,no,321,yes,yes
C00506,45,North West,others,married,primary,no,1508,yes,no
C00507,57,North West,retired,others,secondary,no,-385,yes,no
C00509,60,London,retired,married,secondary,yes,17,no,no
C00510,26,London,admin,single,secondary,no,828,yes,no
C00511,58,North West,retired,married,secondary,no,6320,yes,no
C00513,55,North West, ,others,secondary,no,450,yes,no
C00515,50,North West,management,others,secondary,no,1995,yes,no
C00516,49,South East,entrepreneur,married,secondary,no,194,yes,yes
C00517,44,South East,admin,married,,no,47,no,yes
C00518,44,West Midlands,others,married,primary,no,172,yes,no
C00519,31,South East,technician,married,secondary,no,20,yes,yes
C00520,34,West Midlands,others,single,tertiary,no,1176,yes,no
C00521,46,South East,management,single,,no,1776,yes,no
C00522,42,East Midlands,management,married,tertiary,no,865,no,no
C00523,52,North West,admin,married,secondary,no,563,yes,no
C00524,29,South East,management,single,tertiary,no,0,yes,no
C00526,43,South East,others,married,secondary,no,1552,yes,no
C00528,46,London,management,married,tertiary,no,534,yes,no
C00529,48,East of England,management,others,,no,638,yes,no
C00533,42,Yorkshire and the Humber,services,single,secondary,no,602,yes,no
C00534,40,South East,management,single,tertiary,no,4508,yes,no
C00536,45,South East,others,others,secondary,no,879,yes,no
C00538,45,London,others,married,primary,no,-77,yes,no
C00539,34,West Midlands,others,married,,no,285,yes,no
C00540,34,South East,others,married,primary,no,-167,yes,no
C00542,49,South East,services,others,secondary,no,587,yes,no
C00543,50,North West,technician,married,primary,no,290,yes,no
C00544,34,South East,admin,single,secondary,no,0,yes,no
C00545,40,South East, ,single,secondary,no,13,yes,no
C00546,36, ,admin,married,secondary,no,743,yes,no
C00547,59,East of England,others,others,,no,144,yes,no
C00548,45,South East,others,married,secondary,no,95,yes,no
C00550,56,North West,services,married,secondary,no,550,yes,no
C00552,30,South East,admin,married,secondary,no,53,yes,no
C00553,30,North East,student,single,tertiary,no,40,yes,no
C00556,36, ,admin,married,secondary,no,-123,yes,no
C00557,39,East of England,services,others,primary,no,548,yes,no
C00559,39,North West,others,others,,no,198,yes,no
C00563,35,London,entrepreneur,married,secondary,yes,237,yes,no
C00564,47,London,technician,married,secondary,no,97,yes,no
C00565,59,West Midlands,services,others,secondary,no,0,yes,yes
C00566,57,Yorkshire and the Humber,others,married,primary,no,6315,yes,yes
C00567,38,South West,management,married,,no,2045,yes,no
C00568,46,South East, ,married,secondary,no,-145,yes,no
C00569,34,London,others,married,secondary,no,0,no,no
C00571,38,North West,technician,married,,no,666,yes,no
C00572,56,West Midlands,others,married,secondary,no,1863,yes,no
C00574,52,London,technician,married,,no,0,no,no
C00575,54,South East,services,married,secondary,no,224,no,no
C00576,61,South East,retired,married,secondary,no,227,yes,yes
C00577,53,East of England,entrepreneur,married,secondary,no,335,no,no
C00578,47,East of England,technician,married,secondary,no,22,yes,no
C00579,53,East of England,others,married,primary,no,29,yes,no
C00580,46,North West,services,married,secondary,no,251,yes,no
C00581,39,London,others,others,primary,no,221,yes,yes
C00582,56,South East,technician,others,secondary,no,115,yes,no
C00583,55,South East,services,others,primary,no,2672,yes,no
C00585,37,East of England,technician,married,primary,no,0,yes,no
C00586,35,North West,others,married,primary,no,0,yes,no
C00587,55,London,others,married,secondary,no,977,yes,no
C00589,30,London,technician,single,secondary,no,0,yes,no
C00590,37,North West,others,married,primary,no,-378,yes,yes
C00591,36,North West,technician,single,secondary,no,-17,yes,no
C00592,38,London,technician,married,secondary,no,676,yes,no
C00593,41,South East,admin,others,primary,no,4733,yes,no
C00595,55,West Midlands,services,others,secondary,no,164,yes,no
C00596,28,London,services,others,secondary,no,103,no,no
C00597,54,South East,services,married,secondary,yes,0,yes,no
C00598,30,South West,others,married,secondary,no,523,no,no
C00599,48,East of England,technician,married,tertiary,no,360,no,no
C00601,38,South East,others,married,secondary,no,447,yes,no
C00602,37,London,others,married,secondary,no,459,yes,no
C00603,37,London,services,single,,no,-137,yes,no
C00604,56,Yorkshire and the Humber,others,married,primary,no,6,yes,yes
C00605,51, ,others,married,secondary,no,58,yes,yes
C00606,39,London,others,married,secondary,no,331,yes,yes
C00607,49,East of England,technician,married,,no,17,no,no
C00608,51,West Midlands,others,married,primary,no,759,yes,yes
C00609,43,East of England,self-employed,married,secondary,no,1067,yes,no
C00610,32,East of England,services,married,secondary,no,283,yes,yes
C00612,48,East of England,management,others,tertiary,no,1544,yes,no
C00614,53,London,others,married,secondary,no,3950,yes,no
C00615,47,North West,technician,married,,no,2449,yes,no
C00616,39,North East,management,married,tertiary,no,3345,yes,no
C00617,31,West Midlands,others,single,tertiary,no,70,yes,yes
C00618,39,London,others,married,primary,no,2588,yes,no
C00619,40,West Midlands,others,married,primary,no,3349,yes,no
C00620,40,East of England,technician,single,,no,-6,yes,no
C00621,48,South East,technician,married,secondary,no,171,no,no
C00623,40,South East,technician,married,secondary,no,127,yes,no
C00624,59,South East,retired,married,primary,no,-138,yes,no
C00625,30,London,technician,married,secondary,no,563,yes,no
C00626,31,South East,management,single,tertiary,no,2153,yes,no
C00627,35,North West, ,married,secondary,no,620,yes,no
C00628,54,West Midlands,technician,others,secondary,no,24,yes,no
C00629,34,South East,admin,single,,no,2830,yes,no
C00630,32,West Midlands,technician,married,secondary,no,105,yes,yes
C00631,56,South East,admin,others,,no,4937,yes,no
C00632,32,London,admin,single,tertiary,no,459,yes,no
C00633,42,South East,others,married,primary,no,17,yes,no
C00634,33,London,services,married,tertiary,no,99,no,no
C00637,52,London,others,others,primary,yes,-213,yes,no
C00638,30,London, ,others,secondary,no,1330,yes,no
C00640,35, ,admin,married,secondary,no,80,yes,yes
C00644,42,London,technician,single,secondary,no,0,yes,no
C00646,38,London,entrepreneur,married,tertiary,no,1044,yes,no
C00648,31,London,student,single,secondary,no,293,yes,no
C00649,41,South East,management,married,tertiary,no,76,yes,no
C00650,41,London,technician,married,secondary,no,-426,yes,yes
C00651,29,South East,student,single,secondary,no,243,yes,no
C00653,44,North West,self-employed,others,tertiary,no,5,yes,no
C00654,39,London,admin,married,secondary,no,121,yes,no
C00655,28,London,technician,single,secondary,no,363,yes,no
C00656,33,South East,others,married,secondary,no,-406,yes,no
C00657,41,South East,services,married,,no,5,no,no
C00660,38,South East,management,married,,no,1569,yes,no
C00661,32,South East,admin,married,tertiary,no,327,yes,no
C00667,35,London,admin,single,secondary,no,172,yes,no
C00668,40,South East,technician,single,secondary,no,233,yes,no
C00669,60,South East,self-employed,married,primary,no,53,yes,no
C00671,46,South East,others,married,primary,no,616,yes,no
C00672,31,South East,others,single,secondary,no,0,yes,no
