custID,contact,duration,response
C00204,unknown,611,no
C00207,unknown,42,no
C00208,unknown,251,no
C00210,unknown,215,no
C00211,unknown,287,no
C00212,unknown,216,no
C00214,unknown,210,no
C00215,unknown,288,no
C00216,unknown,168,no
C00219,unknown,177,no
C00220,unknown,127,no
C00221,unknown,357,no
C00223,unknown,300,no
C00225,unknown,1419,no
C00226,unknown,125,no
C00227,unknown,213,no
C00228,unknown,27,no
C00229,unknown,238,no
C00230,unknown,124,no
C00231,unknown,18,no
C00232,unknown,730,no
C00233,unknown,746,no
C00235,unknown,247,no
C00236,unknown,40,no
C00238,unknown,79,no
C00239,unknown,206,no
C00240,unknown,389,no
C00241,unknown,127,no
C00242,unknown,702,no
C00244,unknown,117,no
C00245,unknown,232,no
C00246,unknown,408,no
C00247,unknown,179,no
C00248,unknown,39,no
C00249,unknown,282,no
C00250,unknown,714,no
C00251,unknown,50,no
C00252,unknown,181,no
C00253,unknown,142,no
C00254,unknown,227,no
C00255,unknown,119,no
C00256,unknown,361,no
C00258,unknown,67,no
C00259,unknown,350,no
C00260,unknown,332,no
C00261,unknown,611,no
C00262,unknown,113,no
C00263,unknown,132,no
C00264,unknown,58,no
C00265,unknown,151,no
C00266,unknown,89,no
C00268,unknown,611,no
C00270,unknown,463,no
C00271,unknown,562,yes
C00272,unknown,962,no
C00274,unknown,118,no
C00275,unknown,92,no
C00276,unknown,143,no
C00278,unknown,234,no
C00279,unknown,75,no
C00281,unknown,621,no
C00283,unknown,310,no
C00284,unknown,156,no
C00287,unknown,125,no
C00288,unknown,2,no
C00289,unknown,286,no
C00291,unknown,98,no
C00292,unknown,742,no
C00293,unknown,226,no
C00294,unknown,120,no
C00295,unknown,362,no
C00296,unknown,357,no
C00297,unknown,200,no
C00298,unknown,204,no
C00299,unknown,126,no
C00300,unknown,65,no
C00301,unknown,107,no
C00302,unknown,267,no
C00303,unknown,248,no
C00304,unknown,215,no
C00305,unknown,209,no
C00306,unknown,205,no
C00307,unknown,83,no
C00308,unknown,106,no
C00309,unknown,189,no
C00312,unknown,108,no
C00313,unknown,311,no
C00314,unknown,214,no
C00315,unknown,132,no
C00316,unknown,358,no
C00317,unknown,453,no
C00318,unknown,364,no
C00319,unknown,136,no
C00320,unknown,386,no
C00321,unknown,173,no
C00322,unknown,241,no
C00323,unknown,224,no
C00324,unknown,148,no
C00325,unknown,196,no
C00326,unknown,111,no
C00329,unknown,216,no
C00330,unknown,240,no
C00331,unknown,669,no
C00333,unknown,143,no
C00334,unknown,174,no
C00336,unknown,135,no
C00337,unknown,146,no
C00338,unknown,152,no
C00339,unknown,402,no
C00341,unknown,144,no
C00342,unknown,124,no
C00343,unknown,183,no
C00344,unknown,325,no
C00345,unknown,39,no
C00346,unknown,503,no
C00348,unknown,680,no
C00349,unknown,421,no
C00350,unknown,174,no
C00351,unknown,113,no
C00352,unknown,808,no
C00353,unknown,198,no
C00354,unknown,195,no
C00355,unknown,347,no
C00356,unknown,208,no
C00357,unknown,404,no
C00358,unknown,396,no
C00359,unknown,216,no
C00361,unknown,350,no
C00362,unknown,114,no
C00363,unknown,88,no
C00364,unknown,379,no
C00365,unknown,190,no
C00366,unknown,158,no
C00368,unknown,306,no
C00369,unknown,218,no
C00370,unknown,54,no
C00371,unknown,344,no
C00372,unknown,195,no
C00375,unknown,189,no
C00376,unknown,83,no
C00377,unknown,184,no
C00379,unknown,290,no
C00380,unknown,232,no
C00382,unknown,318,no
C00383,unknown,260,no
C00384,unknown,437,no
C00385,unknown,402,no
C00386,unknown,85,no
C00387,unknown,125,no
C00389,unknown,1201,yes
C00390,unknown,253,no
C00391,unknown,1030,yes
C00392,unknown,149,no
C00393,unknown,114,no
C00396,unknown,135,no
C00397,unknown,231,no
C00398,unknown,76,no
C00399,unknown,199,no
C00400,unknown,152,no
C00401,unknown,124,no
C00402,unknown,424,no
C00403,unknown,43,no
C00404,unknown,154,no
C00405,unknown,203,no
C00406,unknown,326,no
C00407,unknown,393,no
C00408,unknown,241,no
C00409,unknown,483,no
C00410,unknown,259,no
C00411,unknown,227,no
C00412,unknown,673,no
C00415,unknown,168,no
C00416,unknown,90,no
C00417,unknown,505,no
C00418,unknown,245,no
C00419,unknown,186,no
C00421,unknown,496,no
C00422,unknown,118,no
C00423,unknown,342,no
C00424,unknown,225,no
C00425,unknown,185,no
C00426,unknown,196,no
C00428,unknown,76,no
C00429,unknown,87,no
C00430,unknown,195,no
C00431,unknown,744,no
C00432,unknown,765,no
C00433,unknown,262,no
C00434,unknown,119,no
C00435,unknown,198,no
C00436,unknown,150,no
C00437,unknown,241,no
C00438,unknown,181,no
C00439,unknown,196,no
C00440,unknown,149,no
C00442,unknown,112,no
C00443,unknown,309,no
C00444,unknown,278,no
C00446,unknown,136,no
C00449,unknown,144,no
C00450,unknown,238,no
C00451,unknown,354,no
C00452,unknown,79,no
C00453,unknown,187,no
C00454,unknown,451,no
C00455,unknown,159,no
C00456,unknown,409,no
C00458,unknown,608,yes
C00459,unknown,243,no
C00460,unknown,145,no
C00461,unknown,112,no
C00462,unknown,262,no
C00463,unknown,124,no
C00464,unknown,53,no
C00465,unknown,134,no
C00466,unknown,204,no
C00468,unknown,678,no
C00469,unknown,182,no
C00472,unknown,699,no
C00473,unknown,43,no
C00476,unknown,283,no
C00477,unknown,323,no
C00480,unknown,185,no
C00481,unknown,47,no
C00486,unknown,472,no
C00488,unknown,264,no
C00490,unknown,288,no
C00491,unknown,176,no
C00492,unknown,215,no
C00493,unknown,337,no
C00494,unknown,278,no
C00495,unknown,188,no
C00496,unknown,174,no
C00498,unknown,190,no
C00501,unknown,157,no
C00506,unknown,233,no
C00507,unknown,531,no
C00509,unknown,80,no
C00510,unknown,232,no
C00511,unknown,118,no
C00513,unknown,918,yes
C00515,unknown,82,no
C00516,unknown,198,no
C00517,unknown,160,no
C00518,unknown,211,no
C00519,unknown,120,no
C00520,unknown,136,no
C00521,unknown,269,no
C00522,unknown,157,no
C00523,unknown,128,no
C00524,unknown,211,no
C00526,unknown,371,no
C00528,unknown,221,no
C00529,unknown,427,no
C00533,unknown,198,no
C00534,unknown,145,no
C00536,unknown,179,no
C00538,unknown,263,no
C00539,unknown,13,no
C00540,unknown,79,no
C00542,unknown,162,no
C00543,unknown,129,no
C00544,unknown,150,no
C00545,unknown,43,no
C00546,unknown,191,no
C00547,unknown,26,no
C00548,unknown,250,no
C00550,unknown,416,no
C00552,unknown,114,no
C00553,unknown,289,no
C00556,unknown,130,no
C00557,unknown,161,no
C00559,unknown,268,no
C00563,unknown,424,no
C00564,unknown,179,no
C00565,unknown,97,no
C00566,unknown,383,no
C00567,unknown,440,no
C00568,unknown,23,no
C00569,unknown,195,no
C00571,unknown,87,no
C00572,unknown,427,no
C00574,unknown,195,no
C00575,unknown,179,no
C00576,unknown,179,no
C00577,unknown,69,no
C00578,unknown,105,no
C00579,unknown,266,no
C00580,unknown,524,no
C00581,unknown,96,no
C00582,unknown,155,no
C00583,unknown,162,no
C00585,unknown,76,no
C00586,unknown,154,no
C00587,unknown,310,no
C00589,unknown,369,no
C00590,unknown,112,no
C00591,unknown,341,no
C00592,unknown,79,no
C00593,unknown,140,no
C00595,unknown,262,no
C00596,unknown,174,no
C00597,unknown,138,no
C00598,unknown,526,no
C00599,unknown,135,no
C00601,unknown,1906,no
C00602,unknown,219,no
C00603,unknown,147,no
C00604,unknown,407,no
C00605,unknown,121,no
C00606,unknown,209,no
C00607,unknown,92,no
C00608,unknown,208,no
C00609,unknown,193,no
C00610,unknown,144,no
C00612,unknown,339,no
C00614,unknown,231,no
C00615,unknown,168,no
C00616,unknown,278,no
C00617,unknown,389,no
C00618,unknown,158,no
C00619,unknown,145,no
C00620,unknown,78,no
C00621,unknown,142,no
C00623,unknown,147,no
C00624,unknown,289,no
C00625,unknown,703,yes
C00626,unknown,170,no
C00627,unknown,802,no
C00628,unknown,381,no
C00629,unknown,218,no
C00630,unknown,57,no
C00631,unknown,304,no
C00632,unknown,241,no
C00633,unknown,230,no
C00634,unknown,262,no
C00637,unknown,145,no
C00638,unknown,252,no
C00640,unknown,235,no
C00644,unknown,293,no
C00646,unknown,132,no
C00648,unknown,175,no
C00649,unknown,524,no
C00650,unknown,29,no
C00651,unknown,311,no
C00653,unknown,312,no
C00654,unknown,412,no
C00655,unknown,392,no
C00656,unknown,191,no
C00657,unknown,284,no
C00660,unknown,100,no
C00661,unknown,226,no
C00667,unknown,128,no
C00668,unknown,322,no
C00669,unknown,202,no
C00671,unknown,739,no
C00672,unknown,273,no
C00673,unknown,260,no
C00674,unknown,268,no
C00675,unknown,396,no
C00676,unknown,262,no
C00677,unknown,308,no
C00678,unknown,467,no
C00679,unknown,320,no
C00680,unknown,160,no
C00681,unknown,245,no
C00682,unknown,189,no
C00683,unknown,477,no
C00684,unknown,310,no
C00685,unknown,65,no
C00686,unknown,196,no
C00687,unknown,221,no
C00688,unknown,197,no
C00689,unknown,221,no
C00690,unknown,64,no
C00691,unknown,75,no
C00692,unknown,400,no
C00693,unknown,378,no
C00695,unknown,1597,yes
C00696,unknown,346,no
C00697,unknown,60,no
C00698,unknown,276,no
C00699,unknown,152,no
C00701,unknown,390,no
C00702,unknown,306,no
C00705,unknown,234,no
C00706,unknown,79,no
C00707,unknown,13,no
C00708,unknown,283,no
C00710,unknown,132,no
C00711,unknown,144,no
C00712,unknown,121,no
C00713,unknown,95,no
C00714,unknown,31,no
C00715,unknown,112,no
C00716,unknown,87,no
C00717,unknown,593,no
C00718,unknown,99,no
C00719,unknown,198,no
C00721,unknown,190,no
C00723,unknown,213,no
C00724,unknown,178,no
C00725,unknown,174,no
C00726,unknown,631,no
C00727,unknown,176,no
C00728,unknown,32,no
C00730,unknown,254,no
C00731,unknown,200,no
C00732,unknown,135,no
C00733,unknown,112,no
C00734,unknown,314,no
C00736,unknown,207,no
C00737,unknown,410,no
C00740,unknown,55,no
C00741,unknown,155,no
C00742,unknown,336,no
C00743,unknown,233,no
C00744,unknown,211,no
C00746,unknown,208,no
C00747,unknown,305,no
C00750,unknown,122,no
C00751,unknown,66,no
C00752,unknown,66,no
C00754,unknown,343,no
C00756,unknown,59,no
C00757,unknown,249,no
C00758,unknown,406,no
C00759,unknown,250,no
C00760,unknown,183,no
C00761,unknown,190,no
C00762,unknown,220,no
C00765,unknown,191,no
C00766,unknown,216,no
C00767,unknown,89,no
C00772,unknown,117,no
C00774,unknown,124,no
C00775,unknown,118,no
C00777,unknown,285,no
C00778,unknown,35,no
C00779,unknown,322,no
C00780,unknown,202,no
C00781,unknown,172,no
C00782,unknown,201,no
C00784,unknown,195,no
C00787,unknown,188,no
C00789,unknown,141,no
C00792,unknown,629,no
C00793,unknown,502,no
C00794,unknown,446,no
C00795,unknown,241,no
C00796,unknown,131,no
C00798,unknown,275,no
C00799,unknown,120,no
C00801,unknown,113,no
C00802,unknown,91,no
C00803,unknown,128,no
C00804,unknown,200,no
C00805,unknown,326,no
C00807,unknown,68,no
C00808,unknown,215,no
C00809,unknown,97,no
C00810,unknown,32,no
C00812,unknown,152,no
C00813,unknown,268,no
C00815,unknown,852,no
C00816,unknown,923,no
C00817,unknown,159,no
C00818,unknown,953,no
C00822,unknown,139,no
C00823,unknown,294,no
C00824,unknown,102,no
C00825,unknown,124,no
C00826,unknown,128,no
C00827,unknown,130,no
C00828,unknown,143,no
C00829,unknown,74,no
C00830,unknown,105,no
C00831,unknown,477,no
C00832,unknown,158,no
C00833,unknown,250,no
C00834,unknown,168,no
C00835,unknown,520,no
C00836,unknown,171,no
C00837,unknown,113,no
C00838,unknown,254,no
C00839,unknown,149,no
C00840,unknown,133,no
C00841,unknown,293,no
C00842,unknown,485,no
C00843,unknown,374,no
C00845,unknown,207,no
C00846,unknown,83,no
C00848,unknown,149,no
C00849,unknown,139,no
C00851,unknown,142,no
C00853,unknown,112,no
C00854,unknown,1521,no
C00856,unknown,161,no
C00857,unknown,122,no
C00858,unknown,800,no
C00859,unknown,615,no
C00860,unknown,254,no
C00861,unknown,111,no
C00862,unknown,354,no
C00863,unknown,359,no
C00864,unknown,97,no
C00865,unknown,327,no
C00866,unknown,236,no
C00867,unknown,160,no
C00868,unknown,180,no
C00869,unknown,184,no
C00870,unknown,227,no
C00871,unknown,109,no
C00873,unknown,298,no
C00874,unknown,83,no
C00875,unknown,241,no
C00876,unknown,204,no
C00877,unknown,131,no
C00878,unknown,1138,yes
C00879,unknown,123,no
C00880,unknown,125,no
C00882,unknown,287,no
C00883,unknown,109,no
C00884,unknown,140,no
C00885,unknown,204,no
C00886,unknown,233,no
C00887,unknown,254,no
C00890,unknown,126,no
C00892,unknown,591,yes
C00893,unknown,294,no
C00894,unknown,173,no
C00895,unknown,336,no
C00896,unknown,19,no
C00897,unknown,153,no
C00899,unknown,99,no
C00900,unknown,243,no
C00902,unknown,164,no
C00903,unknown,255,no
C00904,unknown,47,no
C00905,unknown,463,no
C00906,unknown,192,no
C00907,unknown,388,no
C00909,unknown,126,no
C00910,unknown,175,no
C00911,unknown,256,no
C00913,unknown,104,no
C00915,unknown,448,no
C00918,unknown,67,no
C00922,unknown,296,no
C00924,unknown,435,no
C00925,unknown,388,no
C00926,unknown,245,no
C00927,unknown,143,no
C00929,unknown,423,no
C00930,unknown,231,no
C00931,unknown,634,no
C00932,unknown,107,no
C00934,unknown,69,no
C00935,unknown,799,no
C00936,unknown,109,no
C00937,unknown,127,no
C00938,unknown,120,no
C00939,unknown,68,no
C00940,unknown,180,no
C00941,unknown,112,no
C00943,unknown,246,no
C00946,unknown,566,no
C00948,unknown,49,no
C00949,unknown,380,no
C00950,unknown,138,no
C00951,unknown,376,no
C00953,unknown,121,no
C00955,unknown,328,no
C00957,unknown,866,no
C00958,unknown,229,no
C00959,unknown,154,no
C00960,unknown,56,no
C00962,unknown,117,no
C00963,unknown,185,no
C00964,unknown,202,no
C00965,unknown,279,no
C00966,unknown,180,no
C00968,unknown,129,no
C00969,unknown,530,no
C00971,unknown,60,no
C00974,unknown,516,no
C00976,unknown,125,no
C00978,unknown,262,no
C00979,unknown,396,no
C00982,unknown,614,no
C00984,unknown,485,no
C00985,unknown,406,no
C00986,unknown,287,no
C00987,unknown,216,no
C00988,unknown,650,no
C00989,unknown,55,no
C00991,unknown,166,no
C00993,unknown,72,no
C00996,unknown,474,no
C00997,unknown,559,no
C00999,unknown,1101,no
C01000,unknown,236,no
C01001,unknown,164,no
C01002,unknown,93,no
C01005,unknown,485,no
C01006,unknown,206,no
C01007,unknown,311,no
C01008,unknown,690,no
C01009,unknown,362,no
C01010,unknown,274,no
C01011,unknown,163,no
C01012,unknown,345,no
C01013,unknown,329,no
C01015,unknown,143,no
C01016,unknown,1062,no
C01017,unknown,71,no
C01018,unknown,106,no
C01019,unknown,688,no
C01021,unknown,349,no
C01022,unknown,78,no
C01023,unknown,194,no
C01024,unknown,224,no
C01025,unknown,98,no
C01026,unknown,607,no
C01028,unknown,103,no
C01030,unknown,203,no
C01031,unknown,96,no
C01032,unknown,238,no
C01033,unknown,153,no
C01034,unknown,481,no
C01035,unknown,2177,no
C01036,unknown,119,no
C01038,unknown,152,no
C01039,unknown,418,no
C01040,unknown,198,no
C01041,unknown,198,no
C01043,unknown,51,no
C01045,unknown,229,no
C01046,unknown,154,no
C01048,unknown,306,no
C01049,unknown,114,no
C01050,unknown,94,no
C01051,unknown,208,no
C01053,unknown,332,no
C01054,unknown,263,no
C01055,unknown,353,no
C01056,unknown,108,no
C01057,unknown,441,no
C01058,unknown,46,no
C01059,unknown,266,no
C01060,unknown,223,no
C01062,unknown,165,no
C01065,unknown,128,no
C01066,unknown,764,no
C01067,unknown,113,no
C01068,unknown,396,no
C01072,unknown,297,no
C01073,unknown,50,no
C01075,unknown,110,no
C01078,unknown,191,no
C01079,unknown,305,no
C01081,unknown,112,no
C01082,unknown,283,no
C01083,unknown,353,no
C01084,unknown,212,no
C01085,unknown,225,no
C01086,unknown,283,no
C01087,unknown,1273,no
C01089,unknown,139,no
C01090,unknown,228,no
C01092,unknown,256,no
C01093,unknown,564,no
C01097,unknown,152,no
C01099,unknown,113,no
C01101,unknown,299,no
C01102,unknown,348,no
C01103,unknown,103,no
C01105,unknown,127,no
C01106,unknown,244,no
C01107,unknown,157,no
C01110,unknown,126,no
C01111,unknown,161,no
C01112,unknown,333,no
C01113,unknown,155,no
C01114,unknown,152,no
C01115,unknown,145,no
C01117,unknown,123,no
C01118,unknown,74,no
C01119,unknown,248,no
C01120,unknown,130,no
C01127,unknown,489,no
C01128,unknown,41,no
C01129,unknown,159,no
C01130,unknown,196,no
C01131,unknown,276,no
C01132,unknown,697,no
C01133,unknown,81,no
C01134,unknown,149,no
C01136,unknown,122,no
C01137,unknown,361,no
C01138,unknown,319,no
C01139,unknown,944,no
C01140,unknown,282,no
C01141,unknown,1102,yes
C01143,unknown,143,no
C01144,unknown,22,no
C01145,unknown,90,no
C01146,unknown,17,no
C01147,unknown,404,no
C01149,unknown,71,no
C01150,unknown,309,no
C01151,unknown,408,no
C01152,unknown,128,no
C01153,unknown,297,no
C01154,unknown,280,no
C01155,unknown,374,no
C01156,unknown,365,no
C01160,unknown,77,no
C01161,unknown,223,no
C01163,unknown,239,no
C01164,unknown,308,no
C01165,unknown,137,no
C01166,unknown,162,no
C01167,unknown,134,no
C01168,unknown,175,no
C01169,unknown,125,no
C01170,unknown,211,no
C01171,unknown,67,no
C01172,unknown,156,no
C01173,unknown,943,yes
C01174,unknown,813,yes
C01176,unknown,142,no
C01179,unknown,109,no
C01181,unknown,31,no
C01183,unknown,489,no
C01184,unknown,180,no
C01186,unknown,207,no
C01187,unknown,146,no
C01188,unknown,193,no
C01189,unknown,177,no
C01192,unknown,170,no
C01193,unknown,267,no
C01194,unknown,1084,yes
C01195,unknown,528,no
C01197,unknown,238,no
C01198,unknown,61,no
C01199,unknown,923,no
C01203,unknown,221,no
C01204,unknown,35,no
C01208,unknown,604,no
C01209,unknown,65,no
C01210,unknown,380,no
C01211,unknown,693,no
C01212,unknown,11,no
C01213,unknown,405,no
C01214,unknown,20,no
C01215,unknown,202,no
C01216,unknown,235,no
C01217,unknown,75,no
C01218,unknown,134,no
C01219,unknown,101,no
C01220,unknown,255,no
C01222,unknown,462,no
C01223,unknown,161,no
C01224,unknown,200,no
C01225,unknown,56,no
C01226,unknown,238,no
C01229,unknown,96,no
C01230,unknown,39,no
C01231,unknown,471,no
C01233,unknown,66,no
C01234,unknown,204,no
C01236,unknown,200,no
C01237,unknown,187,no
C01239,unknown,144,no
C01241,unknown,323,no
C01242,unknown,194,no
C01243,unknown,82,no
C01244,unknown,269,no
C01245,unknown,285,no
C01246,unknown,101,no
C01247,unknown,294,no
C01250,unknown,106,no
C01251,unknown,152,no
C01252,unknown,12,no
C01254,unknown,214,no
C01255,unknown,268,no
C01257,unknown,95,no
C01258,unknown,60,no
C01259,unknown,381,no
C01260,unknown,206,no
C01261,unknown,75,no
C01262,unknown,128,no
C01263,unknown,216,no
C01264,unknown,155,no
C01265,unknown,103,no
C01267,unknown,107,no
C01268,unknown,147,no
C01271,unknown,198,no
C01272,unknown,141,no
C01273,unknown,255,no
C01274,unknown,1120,yes
C01275,unknown,306,no
C01276,unknown,249,no
C01278,unknown,143,no
C01281,unknown,33,no
C01282,unknown,204,no
C01283,unknown,124,no
C01284,unknown,784,no
C01285,unknown,393,no
C01286,unknown,87,no
C01287,unknown,108,no
C01288,unknown,207,no
C01289,unknown,278,no
C01291,unknown,196,no
C01292,unknown,149,no
C01294,unknown,229,no
C01295,unknown,154,no
C01296,unknown,357,no
C01297,unknown,147,no
C01300,unknown,131,no
C01301,unknown,160,no
C01305,unknown,475,no
C01307,unknown,284,no
C01308,unknown,140,no
C01309,unknown,110,no
C01310,unknown,64,no
C01314,unknown,63,no
C01315,unknown,362,no
C01317,unknown,712,no
C01318,unknown,102,no
C01320,unknown,69,no
C01321,unknown,446,no
C01322,unknown,249,no
C01323,unknown,176,no
C01324,unknown,1007,no
C01325,unknown,266,no
C01327,unknown,323,no
C01328,unknown,175,no
C01329,unknown,459,no
C01330,unknown,211,no
C01332,unknown,50,no
C01333,unknown,500,no
C01334,unknown,186,no
C01335,unknown,96,no
C01336,unknown,98,no
C01337,unknown,364,no
C01339,unknown,319,no
C01340,unknown,178,no
C01341,unknown,513,yes
C01342,unknown,170,no
C01343,unknown,139,no
C01344,unknown,70,no
C01346,unknown,280,no
C01349,unknown,159,no
C01350,unknown,177,no
C01351,unknown,108,no
C01352,unknown,194,no
C01353,unknown,366,no
C01354,unknown,213,no
C01355,unknown,141,no
C01357,unknown,168,no
C01359,unknown,180,no
C01360,unknown,195,no
C01361,unknown,352,no
C01362,unknown,91,no
C01364,unknown,72,no
C01366,unknown,289,no
C01367,unknown,384,no
C01373,unknown,756,yes
C01374,unknown,189,no
C01375,unknown,108,no
C01377,unknown,238,no
C01378,unknown,136,no
C01379,unknown,14,no
C01380,unknown,395,no
C01381,unknown,161,no
C01383,unknown,491,no
C01384,unknown,44,no
C01385,unknown,26,no
C01386,unknown,22,no
C01387,unknown,161,no
C01388,unknown,406,no
C01389,unknown,422,no
C01390,unknown,147,no
C01391,unknown,219,no
C01392,unknown,807,no
C01393,unknown,347,no
C01394,unknown,534,no
C01395,unknown,58,no
C01397,unknown,152,no
C01400,unknown,314,no
C01401,unknown,28,no
C01403,unknown,30,no
C01404,unknown,103,no
C01405,unknown,32,no
C01407,unknown,369,no
C01408,unknown,116,no
C01409,unknown,20,no
C01411,unknown,190,no
C01412,unknown,149,no
C01414,unknown,234,no
C01415,unknown,63,no
C01416,unknown,21,no
C01421,unknown,223,no
C01423,unknown,42,no
C01424,unknown,206,no
C01425,unknown,66,no
C01426,unknown,173,no
C01427,unknown,477,no
C01428,unknown,77,no
C01429,unknown,219,no
C01433,unknown,200,no
C01435,unknown,627,no
C01436,unknown,133,no
C01438,unknown,242,no
C01439,unknown,184,no
C01440,unknown,119,no
C01442,unknown,626,no
C01443,unknown,12,no
C01445,unknown,23,no
C01446,unknown,154,no
C01447,unknown,10,no
C01448,unknown,66,no
C01449,unknown,240,no
C01451,unknown,202,no
C01452,unknown,144,no
C01454,unknown,543,no
C01455,unknown,257,no
C01456,unknown,237,no
C01457,unknown,23,no
C01458,unknown,209,no
C01460,unknown,72,no
C01461,unknown,442,no
C01462,unknown,45,no
C01463,unknown,1120,yes
C01465,unknown,318,no
C01466,unknown,617,no
C01467,unknown,226,no
C01468,unknown,275,no
C01469,unknown,81,no
C01472,unknown,261,no
C01473,unknown,297,no
C01474,unknown,78,no
C01475,unknown,183,no
C01477,unknown,352,no
C01478,unknown,345,no
C01479,unknown,230,no
C01480,unknown,185,no
C01481,unknown,296,no
C01482,unknown,181,no
C01487,unknown,163,no
C01488,unknown,956,no
C01489,unknown,166,no
C01490,unknown,71,no
C01492,unknown,459,no
C01494,unknown,100,no
C01495,unknown,257,no
C01496,unknown,255,no
C01497,unknown,233,no
C01498,unknown,128,no
C01499,unknown,246,no
C01501,unknown,210,no
C01503,unknown,21,no
C01504,unknown,91,no
C01506,unknown,219,no
C01507,unknown,110,no
C01509,unknown,248,no
C01510,unknown,223,no
C01511,unknown,92,no
C01512,unknown,93,no
C01514,unknown,160,no
C01515,unknown,105,no
C01517,unknown,383,no
C01518,unknown,207,no
C01519,unknown,193,no
C01520,unknown,10,no
C01521,unknown,985,yes
C01522,unknown,249,no
C01523,unknown,122,no
C01526,unknown,390,no
C01527,unknown,116,no
C01528,unknown,481,no
C01529,unknown,21,no
C01530,unknown,192,no
C01531,unknown,6,no
C01532,unknown,8,no
C01533,unknown,369,no
C01535,unknown,246,no
C01536,unknown,330,no
C01538,unknown,91,no
C01539,unknown,84,no
C01540,unknown,277,no
C01541,unknown,399,no
C01544,unknown,176,no
C01546,unknown,111,no
C01548,unknown,238,no
C01552,unknown,89,no
C01553,unknown,341,no
C01554,unknown,461,no
C01555,unknown,515,no
